Date;Calendrier Zone A;Calendrier Zone B;Calendrier Zone C;Nom de la période;timestamp_unix
1999-09-13;Hors Vacances;Hors Vacances;Hors Vacances;;937180800
2000-01-03;Hors Vacances;Hors Vacances;Hors Vacances;;946857600
2000-02-29;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;951782400
2000-04-21;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;956275200
2000-04-26;Vacances de printemps;Hors Vacances;Hors Vacances;Vacances de printemps;956707200
2000-05-14;Hors Vacances;Hors Vacances;Hors Vacances;;958262400
2000-07-06;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;962841600
2000-07-09;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;963100800
2000-08-31;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;967680000
2000-09-03;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;967939200
2000-09-23;Hors Vacances;Hors Vacances;Hors Vacances;;969667200
2000-10-04;Hors Vacances;Hors Vacances;Hors Vacances;;970617600
2000-11-03;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;973209600
2000-11-08;Hors Vacances;Hors Vacances;Hors Vacances;;973641600
2000-11-25;Hors Vacances;Hors Vacances;Hors Vacances;;975110400
2001-02-03;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;981158400
2001-02-04;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;981244800
2001-02-05;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;981331200
2001-04-03;Vacances de printemps;Hors Vacances;Hors Vacances;Vacances de printemps;986256000
2001-05-20;Hors Vacances;Hors Vacances;Hors Vacances;;990316800
2001-07-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;994550400
2001-08-06;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;997056000
2001-10-21;Hors Vacances;Hors Vacances;Hors Vacances;;1003622400
2001-12-16;Hors Vacances;Hors Vacances;Hors Vacances;;1008460800
2002-02-24;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1014508800
2002-03-14;Hors Vacances;Hors Vacances;Hors Vacances;;1016064000
2002-03-28;Hors Vacances;Hors Vacances;Hors Vacances;;1017273600
2002-04-07;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1018137600
2002-04-16;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1018915200
2002-05-11;Hors Vacances;Hors Vacances;Hors Vacances;;1021075200
2002-05-23;Hors Vacances;Hors Vacances;Hors Vacances;;1022112000
2002-05-26;Hors Vacances;Hors Vacances;Hors Vacances;;1022371200
2002-06-07;Hors Vacances;Hors Vacances;Hors Vacances;;1023408000
2002-08-11;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1029024000
2002-08-23;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1030060800
2002-09-05;Hors Vacances;Hors Vacances;Hors Vacances;;1031184000
2002-09-09;Hors Vacances;Hors Vacances;Hors Vacances;;1031529600
2002-11-12;Hors Vacances;Hors Vacances;Hors Vacances;;1037059200
2002-12-16;Hors Vacances;Hors Vacances;Hors Vacances;;1039996800
2003-03-05;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;1046822400
2003-03-11;Hors Vacances;Hors Vacances;Hors Vacances;;1047340800
2003-03-25;Hors Vacances;Hors Vacances;Hors Vacances;;1048550400
2003-04-22;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1050969600
2003-06-20;Hors Vacances;Hors Vacances;Hors Vacances;;1056067200
2003-07-17;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1058400000
2003-08-16;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1060992000
2003-08-17;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1061078400
2003-08-19;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1061251200
2003-11-11;Hors Vacances;Hors Vacances;Hors Vacances;;1068508800
2003-11-16;Hors Vacances;Hors Vacances;Hors Vacances;;1068940800
2003-11-26;Hors Vacances;Hors Vacances;Hors Vacances;;1069804800
2003-12-21;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1071964800
2004-01-10;Hors Vacances;Hors Vacances;Hors Vacances;;1073692800
2004-02-25;Hors Vacances;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;1077667200
2004-04-22;Hors Vacances;Vacances de printemps;Vacances de printemps;Vacances de printemps;1082592000
2004-05-24;Hors Vacances;Hors Vacances;Hors Vacances;;1085356800
2004-07-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1089244800
2004-10-15;Hors Vacances;Hors Vacances;Hors Vacances;;1097798400
2004-10-31;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1099180800
2004-12-26;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1104019200
2005-01-28;Hors Vacances;Hors Vacances;Hors Vacances;;1106870400
2005-05-17;Hors Vacances;Hors Vacances;Hors Vacances;;1116288000
2005-05-26;Hors Vacances;Hors Vacances;Hors Vacances;;1117065600
2005-08-11;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1123718400
2005-08-15;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1124064000
2005-09-24;Hors Vacances;Hors Vacances;Hors Vacances;;1127520000
2005-11-08;Hors Vacances;Hors Vacances;Hors Vacances;;1131408000
2005-11-10;Hors Vacances;Hors Vacances;Hors Vacances;;1131580800
2005-12-24;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1135382400
2006-02-25;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1140825600
2006-03-11;Hors Vacances;Hors Vacances;Hors Vacances;;1142035200
2006-03-26;Hors Vacances;Hors Vacances;Hors Vacances;;1143331200
2006-03-31;Hors Vacances;Hors Vacances;Hors Vacances;;1143763200
2006-04-06;Hors Vacances;Hors Vacances;Hors Vacances;;1144281600
2006-07-04;Hors Vacances;Hors Vacances;Hors Vacances;;1151971200
2006-08-13;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1155427200
2006-08-22;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1156204800
2006-09-04;Hors Vacances;Hors Vacances;Hors Vacances;;1157328000
2006-10-05;Hors Vacances;Hors Vacances;Hors Vacances;;1160006400
2006-10-24;Hors Vacances;Hors Vacances;Hors Vacances;;1161648000
2006-10-25;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1161734400
2006-11-03;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1162512000
2006-11-13;Hors Vacances;Hors Vacances;Hors Vacances;;1163376000
2006-11-14;Hors Vacances;Hors Vacances;Hors Vacances;;1163462400
2007-01-03;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1167782400
2007-01-22;Hors Vacances;Hors Vacances;Hors Vacances;;1169424000
2007-02-07;Hors Vacances;Hors Vacances;Hors Vacances;;1170806400
2007-02-20;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1171929600
2007-06-18;Hors Vacances;Hors Vacances;Hors Vacances;;1182124800
2007-08-19;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1187481600
2007-08-21;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1187654400
2007-08-24;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1187913600
2007-09-15;Hors Vacances;Hors Vacances;Hors Vacances;;1189814400
2007-09-30;Hors Vacances;Hors Vacances;Hors Vacances;;1191110400
2007-10-20;Hors Vacances;Hors Vacances;Hors Vacances;;1192838400
2007-11-22;Hors Vacances;Hors Vacances;Hors Vacances;;1195689600
2007-12-08;Hors Vacances;Hors Vacances;Hors Vacances;;1197072000
2007-12-29;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1198886400
2008-01-07;Hors Vacances;Hors Vacances;Hors Vacances;;1199664000
2008-01-23;Hors Vacances;Hors Vacances;Hors Vacances;;1201046400
2008-01-30;Hors Vacances;Hors Vacances;Hors Vacances;;1201651200
2008-02-21;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1203552000
2008-02-22;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1203638400
2008-04-12;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1207958400
2008-04-17;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1208390400
2008-04-21;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1208736000
2008-05-07;Hors Vacances;Hors Vacances;Hors Vacances;;1210118400
2008-06-03;Hors Vacances;Hors Vacances;Hors Vacances;;1212451200
2008-06-14;Hors Vacances;Hors Vacances;Hors Vacances;;1213401600
2008-10-22;Hors Vacances;Hors Vacances;Hors Vacances;;1224633600
2008-10-29;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1225238400
2008-11-09;Hors Vacances;Hors Vacances;Hors Vacances;;1226188800
2008-11-21;Hors Vacances;Hors Vacances;Hors Vacances;;1227225600
2008-12-06;Hors Vacances;Hors Vacances;Hors Vacances;;1228521600
2008-12-16;Hors Vacances;Hors Vacances;Hors Vacances;;1229385600
2009-01-30;Hors Vacances;Hors Vacances;Hors Vacances;;1233273600
2009-02-09;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;1234137600
2009-04-03;Hors Vacances;Hors Vacances;Hors Vacances;;1238716800
2009-04-04;Vacances de printemps;Hors Vacances;Hors Vacances;Vacances de printemps;1238803200
2009-05-03;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;1241308800
2009-06-06;Hors Vacances;Hors Vacances;Hors Vacances;;1244246400
2009-06-28;Hors Vacances;Hors Vacances;Hors Vacances;;1246147200
2009-07-15;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1247616000
2009-08-03;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1249257600
2009-08-04;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1249344000
2009-08-31;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1251676800
2009-09-22;Hors Vacances;Hors Vacances;Hors Vacances;;1253577600
2009-11-14;Hors Vacances;Hors Vacances;Hors Vacances;;1258156800
2009-11-24;Hors Vacances;Hors Vacances;Hors Vacances;;1259020800
2010-01-22;Hors Vacances;Hors Vacances;Hors Vacances;;1264118400
2010-02-07;Hors Vacances;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1265500800
2010-05-11;Hors Vacances;Hors Vacances;Hors Vacances;;1273536000
2010-06-18;Hors Vacances;Hors Vacances;Hors Vacances;;1276819200
2010-07-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1278547200
2010-08-02;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1280707200
2010-09-07;Hors Vacances;Hors Vacances;Hors Vacances;;1283817600
2010-10-26;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1288051200
2010-12-08;Hors Vacances;Hors Vacances;Hors Vacances;;1291766400
2010-12-14;Hors Vacances;Hors Vacances;Hors Vacances;;1292284800
2011-02-14;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1297641600
2011-03-06;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1299369600
2011-03-14;Hors Vacances;Hors Vacances;Hors Vacances;;1300060800
2011-03-21;Hors Vacances;Hors Vacances;Hors Vacances;;1300665600
2011-05-09;Hors Vacances;Hors Vacances;Hors Vacances;;1304899200
2011-05-12;Hors Vacances;Hors Vacances;Hors Vacances;;1305158400
2011-06-16;Hors Vacances;Hors Vacances;Hors Vacances;;1308182400
2011-06-27;Hors Vacances;Hors Vacances;Hors Vacances;;1309132800
2011-07-07;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1309996800
2011-07-24;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1311465600
2011-07-27;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1311724800
2011-08-07;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1312675200
2011-09-23;Hors Vacances;Hors Vacances;Hors Vacances;;1316736000
2011-10-18;Hors Vacances;Hors Vacances;Hors Vacances;;1318896000
2011-11-21;Hors Vacances;Hors Vacances;Hors Vacances;;1321833600
2011-12-03;Hors Vacances;Hors Vacances;Hors Vacances;;1322870400
2012-01-28;Hors Vacances;Hors Vacances;Hors Vacances;;1327708800
2012-02-25;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;1330128000
2012-04-15;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;1334448000
2012-08-25;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1345852800
2012-10-21;Hors Vacances;Hors Vacances;Hors Vacances;;1350777600
2013-02-06;Hors Vacances;Hors Vacances;Hors Vacances;;1360108800
2013-03-27;Hors Vacances;Hors Vacances;Hors Vacances;;1364342400
2013-04-27;Vacances de printemps;Vacances de printemps;Vacances de printemps;Vacances de printemps;1367020800
2013-05-30;Hors Vacances;Hors Vacances;Hors Vacances;;1369872000
2013-06-20;Hors Vacances;Hors Vacances;Hors Vacances;;1371686400
2013-06-27;Hors Vacances;Hors Vacances;Hors Vacances;;1372291200
2013-07-29;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1375056000
2013-08-06;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1375747200
2013-10-15;Hors Vacances;Hors Vacances;Hors Vacances;;1381795200
2013-10-22;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1382400000
2013-10-31;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1383177600
2013-11-18;Hors Vacances;Hors Vacances;Hors Vacances;;1384732800
2013-12-20;Hors Vacances;Hors Vacances;Hors Vacances;;1387497600
2013-12-21;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1387584000
2013-12-26;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1388016000
2014-02-08;Hors Vacances;Hors Vacances;Hors Vacances;;1391817600
2014-03-28;Hors Vacances;Hors Vacances;Hors Vacances;;1395964800
2014-05-19;Hors Vacances;Hors Vacances;Hors Vacances;;1400457600
2014-06-04;Hors Vacances;Hors Vacances;Hors Vacances;;1401840000
2014-06-13;Hors Vacances;Hors Vacances;Hors Vacances;;1402617600
2014-06-21;Hors Vacances;Hors Vacances;Hors Vacances;;1403308800
2014-08-29;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1409270400
2014-09-06;Hors Vacances;Hors Vacances;Hors Vacances;;1409961600
2014-09-28;Hors Vacances;Hors Vacances;Hors Vacances;;1411862400
2014-10-09;Hors Vacances;Hors Vacances;Hors Vacances;;1412812800
2014-10-15;Hors Vacances;Hors Vacances;Hors Vacances;;1413331200
2015-02-09;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;1423440000
2015-03-13;Hors Vacances;Hors Vacances;Hors Vacances;;1426204800
2015-03-19;Hors Vacances;Hors Vacances;Hors Vacances;;1426723200
2015-03-26;Hors Vacances;Hors Vacances;Hors Vacances;;1427328000
2015-05-19;Hors Vacances;Hors Vacances;Hors Vacances;;1431993600
2015-05-20;Hors Vacances;Hors Vacances;Hors Vacances;;1432080000
2015-06-18;Hors Vacances;Hors Vacances;Hors Vacances;;1434585600
2015-08-03;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1438560000
2015-08-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1438992000
2015-08-10;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1439164800
2015-08-14;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1439510400
2015-08-24;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1440374400
2015-09-03;Hors Vacances;Hors Vacances;Hors Vacances;;1441238400
2015-09-27;Hors Vacances;Hors Vacances;Hors Vacances;;1443312000
2015-10-15;Hors Vacances;Hors Vacances;Hors Vacances;;1444867200
2015-11-06;Hors Vacances;Hors Vacances;Hors Vacances;;1446768000
2015-11-15;Hors Vacances;Hors Vacances;Hors Vacances;;1447545600
2015-12-22;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1450742400
2016-01-19;Hors Vacances;Hors Vacances;Hors Vacances;;1453161600
2016-02-27;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1456531200
2016-08-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1470614400
2016-09-11;Hors Vacances;Hors Vacances;Hors Vacances;;1473552000
2016-11-22;Hors Vacances;Hors Vacances;Hors Vacances;;1479772800
2016-11-30;Hors Vacances;Hors Vacances;Hors Vacances;;1480464000
2017-03-18;Hors Vacances;Hors Vacances;Hors Vacances;;1489795200
2017-03-25;Hors Vacances;Hors Vacances;Hors Vacances;;1490400000
1990-01-10;Hors Vacances;Hors Vacances;Hors Vacances;;631929600
1990-01-20;Hors Vacances;Hors Vacances;Hors Vacances;;632793600
1990-02-06;Hors Vacances;Hors Vacances;Hors Vacances;;634262400
1990-03-14;Hors Vacances;Hors Vacances;Hors Vacances;;637372800
1990-04-11;Hors Vacances;Hors Vacances;Hors Vacances;;639792000
1990-04-18;Hors Vacances;Hors Vacances;Hors Vacances;;640396800
1990-07-22;Hors Vacances;Hors Vacances;Hors Vacances;;648604800
1990-10-04;Hors Vacances;Hors Vacances;Hors Vacances;;654998400
1990-10-12;Hors Vacances;Hors Vacances;Hors Vacances;;655689600
1990-10-25;Hors Vacances;Hors Vacances;Hors Vacances;;656812800
1990-10-29;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;657158400
1990-11-09;Hors Vacances;Hors Vacances;Hors Vacances;;658108800
1990-11-29;Hors Vacances;Hors Vacances;Hors Vacances;;659836800
1991-01-05;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;663033600
1991-01-26;Hors Vacances;Hors Vacances;Hors Vacances;;664848000
1991-01-27;Hors Vacances;Hors Vacances;Hors Vacances;;664934400
1991-04-03;Hors Vacances;Hors Vacances;Hors Vacances;;670636800
1991-05-02;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;673142400
1991-06-14;Hors Vacances;Hors Vacances;Hors Vacances;;676857600
1991-06-16;Hors Vacances;Hors Vacances;Hors Vacances;;677030400
1991-07-16;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;679622400
1991-07-24;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;680313600
1991-09-04;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;683942400
1991-09-24;Hors Vacances;Hors Vacances;Hors Vacances;;685670400
1991-09-30;Hors Vacances;Hors Vacances;Hors Vacances;;686188800
1991-10-07;Hors Vacances;Hors Vacances;Hors Vacances;;686793600
1991-11-15;Hors Vacances;Hors Vacances;Hors Vacances;;690163200
1991-11-29;Hors Vacances;Hors Vacances;Hors Vacances;;691372800
1991-12-22;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;693360000
1992-01-19;Hors Vacances;Hors Vacances;Hors Vacances;;695779200
1992-02-01;Hors Vacances;Hors Vacances;Hors Vacances;;696902400
1992-02-21;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;698630400
1992-03-06;Hors Vacances;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;699840000
1992-03-07;Hors Vacances;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;699926400
1992-04-14;Vacances de printemps;Hors Vacances;Hors Vacances;Vacances de printemps;703209600
1992-05-31;Hors Vacances;Hors Vacances;Hors Vacances;;707270400
1992-07-12;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;710899200
1992-08-04;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;712886400
1992-08-14;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;713750400
1992-09-07;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;715824000
1992-11-21;Hors Vacances;Hors Vacances;Hors Vacances;;722304000
1992-12-18;Hors Vacances;Hors Vacances;Hors Vacances;;724636800
1993-01-16;Hors Vacances;Hors Vacances;Hors Vacances;;727142400
1993-05-22;Hors Vacances;Hors Vacances;Hors Vacances;;738028800
1993-06-07;Hors Vacances;Hors Vacances;Hors Vacances;;739411200
1993-06-15;Hors Vacances;Hors Vacances;Hors Vacances;;740102400
1993-07-09;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;742176000
1993-07-22;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;743299200
1993-07-26;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;743644800
1993-08-16;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;745459200
1993-08-17;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;745545600
1993-09-07;Hors Vacances;Hors Vacances;Hors Vacances;;747360000
1993-09-09;Hors Vacances;Hors Vacances;Hors Vacances;;747532800
1993-11-03;Hors Vacances;Hors Vacances;Hors Vacances;;752284800
1993-11-25;Hors Vacances;Hors Vacances;Hors Vacances;;754185600
1993-11-26;Hors Vacances;Hors Vacances;Hors Vacances;;754272000
1994-01-01;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;757382400
1994-01-25;Hors Vacances;Hors Vacances;Hors Vacances;;759456000
1994-03-02;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;762566400
1994-03-20;Hors Vacances;Hors Vacances;Hors Vacances;;764121600
1994-03-22;Hors Vacances;Hors Vacances;Hors Vacances;;764294400
1994-04-04;Hors Vacances;Hors Vacances;Hors Vacances;;765417600
1994-06-15;Hors Vacances;Hors Vacances;Hors Vacances;;771638400
1994-10-05;Hors Vacances;Hors Vacances;Hors Vacances;;781315200
1994-12-03;Hors Vacances;Hors Vacances;Hors Vacances;;786412800
1995-01-10;Hors Vacances;Hors Vacances;Hors Vacances;;789696000
1995-02-06;Hors Vacances;Hors Vacances;Hors Vacances;;792028800
1995-03-25;Hors Vacances;Hors Vacances;Hors Vacances;;796089600
1995-03-26;Hors Vacances;Hors Vacances;Hors Vacances;;796176000
1995-03-29;Hors Vacances;Hors Vacances;Hors Vacances;;796435200
1995-04-22;Vacances de printemps;Vacances de printemps;Vacances de printemps;Vacances de printemps;798508800
1995-07-07;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;805075200
1995-07-21;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;806284800
1995-07-30;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;807062400
1995-10-01;Hors Vacances;Hors Vacances;Hors Vacances;;812505600
1995-12-16;Hors Vacances;Hors Vacances;Hors Vacances;;819072000
1996-01-01;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;820454400
1996-02-27;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;825379200
1996-06-02;Hors Vacances;Hors Vacances;Hors Vacances;;833673600
1996-08-09;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;839548800
1996-08-21;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;840585600
1996-10-10;Hors Vacances;Hors Vacances;Hors Vacances;;844905600
1996-10-12;Hors Vacances;Hors Vacances;Hors Vacances;;845078400
1996-10-15;Hors Vacances;Hors Vacances;Hors Vacances;;845337600
1996-10-29;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;846547200
1996-11-02;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;846892800
1996-11-11;Hors Vacances;Hors Vacances;Hors Vacances;;847670400
1996-11-13;Hors Vacances;Hors Vacances;Hors Vacances;;847843200
1997-01-20;Hors Vacances;Hors Vacances;Hors Vacances;;853718400
1997-02-07;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;855273600
1997-02-19;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;856310400
1997-02-28;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;857088000
1997-03-01;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;857174400
1997-03-30;Hors Vacances;Hors Vacances;Hors Vacances;;859680000
1997-04-10;Hors Vacances;Vacances de printemps;Vacances de printemps;Vacances de printemps;860630400
1997-06-21;Hors Vacances;Hors Vacances;Hors Vacances;;866851200
1997-07-03;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;867888000
1997-07-15;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;868924800
1997-07-21;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;869443200
1997-07-24;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;869702400
1997-08-03;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;870566400
1997-09-15;Hors Vacances;Hors Vacances;Hors Vacances;;874281600
1997-10-18;Hors Vacances;Hors Vacances;Hors Vacances;;877132800
1997-10-26;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;877824000
1997-11-02;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;878428800
1997-11-16;Hors Vacances;Hors Vacances;Hors Vacances;;879638400
1997-12-10;Hors Vacances;Hors Vacances;Hors Vacances;;881712000
1997-12-26;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;883094400
1998-01-20;Hors Vacances;Hors Vacances;Hors Vacances;;885254400
1998-02-10;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;887068800
1998-02-16;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;887587200
1998-03-12;Hors Vacances;Hors Vacances;Hors Vacances;;889660800
1998-03-26;Hors Vacances;Hors Vacances;Hors Vacances;;890870400
1998-04-01;Hors Vacances;Hors Vacances;Hors Vacances;;891388800
1998-04-03;Vacances de printemps;Hors Vacances;Hors Vacances;Vacances de printemps;891561600
1998-04-26;Hors Vacances;Vacances de printemps;Hors Vacances;Vacances de printemps;893548800
1998-05-31;Hors Vacances;Hors Vacances;Hors Vacances;;896572800
1998-06-04;Hors Vacances;Hors Vacances;Hors Vacances;;896918400
1998-06-07;Hors Vacances;Hors Vacances;Hors Vacances;;897177600
1998-06-14;Hors Vacances;Hors Vacances;Hors Vacances;;897782400
1998-08-11;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;902793600
1999-01-24;Hors Vacances;Hors Vacances;Hors Vacances;;917136000
1999-02-15;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;919036800
1999-03-07;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;920764800
1999-03-20;Hors Vacances;Hors Vacances;Hors Vacances;;921888000
1999-04-21;Vacances de printemps;Hors Vacances;Vacances de printemps;Vacances de printemps;924652800
1999-06-13;Hors Vacances;Hors Vacances;Hors Vacances;;929232000
1999-07-15;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;931996800
2017-05-29;Hors Vacances;Hors Vacances;Hors Vacances;;1496016000
