Date;Calendrier Zone A;Calendrier Zone B;Calendrier Zone C;Nom de la période;timestamp_unix
2020-01-25;Hors Vacances;Hors Vacances;Hors Vacances;;1579910400
2020-04-16;Hors Vacances;Vacances de printemps;Vacances de printemps;Vacances de printemps;1586995200
2020-04-22;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1587513600
2020-05-11;Hors Vacances;Hors Vacances;Hors Vacances;;1589155200
2020-05-31;Hors Vacances;Hors Vacances;Hors Vacances;;1590883200
2020-06-29;Hors Vacances;Hors Vacances;Hors Vacances;;1593388800
2020-07-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1594166400
2020-08-23;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1598140800
2020-10-01;Hors Vacances;Hors Vacances;Hors Vacances;;1601510400
2020-11-23;Hors Vacances;Hors Vacances;Hors Vacances;;1606089600
2021-01-25;Hors Vacances;Hors Vacances;Hors Vacances;;1611532800
2021-02-16;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1613433600
2021-04-04;Hors Vacances;Hors Vacances;Hors Vacances;;1617494400
2021-06-16;Hors Vacances;Hors Vacances;Hors Vacances;;1623801600
2021-07-14;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1626220800
2021-09-10;Hors Vacances;Hors Vacances;Hors Vacances;;1631232000
2021-09-27;Hors Vacances;Hors Vacances;Hors Vacances;;1632700800
2021-10-30;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1635552000
2022-01-20;Hors Vacances;Hors Vacances;Hors Vacances;;1642636800
2022-03-04;Hors Vacances;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1646352000
2022-03-15;Hors Vacances;Hors Vacances;Hors Vacances;;1647302400
2022-04-21;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1650499200
2022-04-22;Vacances de printemps;Vacances de printemps;Hors Vacances;Vacances de printemps;1650585600
2022-05-25;Hors Vacances;Hors Vacances;Hors Vacances;;1653436800
2022-07-15;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1657843200
2022-07-26;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1658793600
2022-08-01;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1659312000
2022-09-25;Hors Vacances;Hors Vacances;Hors Vacances;;1664064000
2022-09-29;Hors Vacances;Hors Vacances;Hors Vacances;;1664409600
2022-11-21;Hors Vacances;Hors Vacances;Hors Vacances;;1668988800
2022-12-07;Hors Vacances;Hors Vacances;Hors Vacances;;1670371200
2023-01-26;Hors Vacances;Hors Vacances;Hors Vacances;;1674691200
2023-02-13;Vacances d'hiver;Vacances d'hiver;Hors Vacances;Vacances d'hiver;1676246400
2023-02-19;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;Vacances d'hiver;1676764800
2023-03-06;Hors Vacances;Hors Vacances;Hors Vacances;;1678060800
2023-05-09;Hors Vacances;Hors Vacances;Hors Vacances;;1683590400
2023-05-16;Hors Vacances;Hors Vacances;Hors Vacances;;1684195200
2023-05-26;Hors Vacances;Hors Vacances;Hors Vacances;;1685059200
2023-06-07;Hors Vacances;Hors Vacances;Hors Vacances;;1686096000
2023-06-15;Hors Vacances;Hors Vacances;Hors Vacances;;1686787200
2023-06-17;Hors Vacances;Hors Vacances;Hors Vacances;;1686960000
2023-08-03;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1691020800
2023-08-11;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1691712000
2023-08-13;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1691884800
2023-08-14;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1691971200
2023-08-15;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1692057600
2023-09-13;Hors Vacances;Hors Vacances;Hors Vacances;;1694563200
2023-09-30;Hors Vacances;Hors Vacances;Hors Vacances;;1696032000
2023-10-09;Hors Vacances;Hors Vacances;Hors Vacances;;1696809600
2023-10-10;Hors Vacances;Hors Vacances;Hors Vacances;;1696896000
2023-10-30;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1698624000
2023-10-31;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1698710400
2023-11-12;Hors Vacances;Hors Vacances;Hors Vacances;;1699747200
2023-12-14;Hors Vacances;Hors Vacances;Hors Vacances;;1702512000
2023-12-17;Hors Vacances;Hors Vacances;Hors Vacances;;1702771200
2024-01-05;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1704412800
2024-02-06;Hors Vacances;Hors Vacances;Hors Vacances;;1707177600
2016-01-31;Hors Vacances;Hors Vacances;Hors Vacances;;1454198400
2016-02-25;Vacances d'hiver;Hors Vacances;Vacances d'hiver;Vacances d'hiver;1456358400
2016-03-27;Hors Vacances;Hors Vacances;Hors Vacances;;1459036800
2016-05-12;Hors Vacances;Hors Vacances;Hors Vacances;;1463011200
2016-05-25;Hors Vacances;Hors Vacances;Hors Vacances;;1464134400
2016-06-17;Hors Vacances;Hors Vacances;Hors Vacances;;1466121600
2016-06-18;Hors Vacances;Hors Vacances;Hors Vacances;;1466208000
2016-09-20;Hors Vacances;Hors Vacances;Hors Vacances;;1474329600
2016-10-12;Hors Vacances;Hors Vacances;Hors Vacances;;1476230400
2016-11-09;Hors Vacances;Hors Vacances;Hors Vacances;;1478649600
2016-11-15;Hors Vacances;Hors Vacances;Hors Vacances;;1479168000
2016-11-20;Hors Vacances;Hors Vacances;Hors Vacances;;1479600000
2016-12-01;Hors Vacances;Hors Vacances;Hors Vacances;;1480550400
2016-12-05;Hors Vacances;Hors Vacances;Hors Vacances;;1480896000
2016-12-31;Vacances de Noël;Vacances de Noël;Vacances de Noël;Vacances de Noël;1483142400
2017-01-20;Hors Vacances;Hors Vacances;Hors Vacances;;1484870400
2017-01-22;Hors Vacances;Hors Vacances;Hors Vacances;;1485043200
2017-02-28;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;1488240000
2017-03-16;Hors Vacances;Hors Vacances;Hors Vacances;;1489622400
2017-03-20;Hors Vacances;Hors Vacances;Hors Vacances;;1489968000
2017-03-21;Hors Vacances;Hors Vacances;Hors Vacances;;1490054400
2017-03-31;Hors Vacances;Hors Vacances;Hors Vacances;;1490918400
2017-04-04;Hors Vacances;Hors Vacances;Vacances de printemps;Vacances de printemps;1491264000
2017-04-28;Vacances de printemps;Hors Vacances;Hors Vacances;Vacances de printemps;1493337600
2017-05-15;Hors Vacances;Hors Vacances;Hors Vacances;;1494806400
2017-08-28;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1503878400
2017-09-09;Hors Vacances;Hors Vacances;Hors Vacances;;1504915200
2017-09-27;Hors Vacances;Hors Vacances;Hors Vacances;;1506470400
2017-11-10;Hors Vacances;Hors Vacances;Hors Vacances;;1510272000
2018-01-27;Hors Vacances;Hors Vacances;Hors Vacances;;1517011200
2018-02-04;Hors Vacances;Hors Vacances;Hors Vacances;;1517702400
2018-02-11;Vacances d'hiver;Hors Vacances;Hors Vacances;Vacances d'hiver;1518307200
2018-03-15;Hors Vacances;Hors Vacances;Hors Vacances;;1521072000
2018-03-31;Hors Vacances;Hors Vacances;Hors Vacances;;1522454400
2018-04-27;Hors Vacances;Vacances de printemps;Vacances de printemps;Vacances de printemps;1524787200
2018-05-31;Hors Vacances;Hors Vacances;Hors Vacances;;1527724800
2018-07-08;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1531008000
2018-08-25;Vacances d'été;Vacances d'été;Vacances d'été;Vacances d'été;1535155200
2018-09-03;Hors Vacances;Hors Vacances;Hors Vacances;;1535932800
2024-03-27;Hors Vacances;Hors Vacances;Hors Vacances;;1711497600
2024-04-02;Hors Vacances;Hors Vacances;Hors Vacances;;1712016000
2024-05-31;Hors Vacances;Hors Vacances;Hors Vacances;;1717113600
2024-09-17;Hors Vacances;Hors Vacances;Hors Vacances;;1726531200
2024-10-22;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;Vacances de la Toussaint;1729555200
2024-12-11;Hors Vacances;Hors Vacances;Hors Vacances;;1733875200
2024-12-12;Hors Vacances;Hors Vacances;Hors Vacances;;1733961600
2025-05-06;Hors Vacances;Hors Vacances;Hors Vacances;;1746489600
2025-05-21;Hors Vacances;Hors Vacances;Hors Vacances;;1747785600
