destination_name,departure_status,real_arrival,real_departure,ArRTown,temperature_2m,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m,visibility,is_day,Date,day_of_week,day_type,is_bank_holiday,is_holiday,saturday,sunday,is_weekend,is_weekend_or_bank_holiday,pourc_validations
Mairie d'Aubervilliers,onTime,2024-11-02 21:43:26,2024-11-02 21:43:26,Paris 9e,11.2,0.0,0.0,0.0,9.83,19.8,31700.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.89
Mairie d'Aubervilliers,onTime,2024-11-02 22:28:19,2024-11-02 22:28:19,Paris 9e,11.1,0.0,0.0,0.0,10.54,21.24,31120.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.79
Mairie d'Aubervilliers,onTime,2024-11-02 22:28:19,2024-11-02 22:28:19,Paris 9e,11.1,0.0,0.0,0.0,10.54,21.24,31120.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.26
Mairie d'Issy,onTime,2024-11-02 22:30:37,2024-11-02 22:30:37,Paris 9e,11.1,0.0,0.0,0.0,10.54,21.24,31120.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.79
Mairie d'Issy,onTime,2024-11-02 22:30:37,2024-11-02 22:30:37,Paris 9e,11.1,0.0,0.0,0.0,10.54,21.24,31120.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.26
Mairie d'Aubervilliers,onTime,2024-11-02 22:32:57,2024-11-02 22:32:57,Paris 9e,11.1,0.0,0.0,0.0,10.54,21.24,31120.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.79
Mairie d'Aubervilliers,onTime,2024-11-02 22:32:57,2024-11-02 22:32:57,Paris 9e,11.1,0.0,0.0,0.0,10.54,21.24,31120.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.26
Mairie d'Issy,onTime,2024-11-02 22:35:08,2024-11-02 22:35:08,Paris 9e,11.1,0.0,0.0,0.0,10.54,21.24,31120.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.79
Mairie d'Issy,onTime,2024-11-02 22:35:08,2024-11-02 22:35:08,Paris 9e,11.1,0.0,0.0,0.0,10.54,21.24,31120.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.26
Mairie d'Issy,onTime,2024-11-02 22:40:47,2024-11-02 22:40:47,Paris 9e,11.05,0.0,0.0,0.0,10.54,21.24,31000.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.79
Mairie d'Issy,onTime,2024-11-02 22:40:47,2024-11-02 22:40:47,Paris 9e,11.05,0.0,0.0,0.0,10.54,21.24,31000.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.26
Mairie d'Issy,onTime,2024-11-02 22:44:59,2024-11-02 22:44:59,Paris 9e,11.05,0.0,0.0,0.0,10.54,21.24,31000.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.79
Mairie d'Issy,onTime,2024-11-02 22:44:59,2024-11-02 22:44:59,Paris 9e,11.05,0.0,0.0,0.0,10.54,21.24,31000.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.26
Mairie d'Aubervilliers,onTime,2024-11-02 23:27:49,2024-11-02 23:27:49,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.05
Mairie d'Aubervilliers,onTime,2024-11-02 23:27:49,2024-11-02 23:27:49,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,1.49
Mairie d'Issy,onTime,2024-11-02 23:29:37,2024-11-02 23:29:37,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.05
Mairie d'Issy,onTime,2024-11-02 23:29:37,2024-11-02 23:29:37,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,1.49
Mairie d'Aubervilliers,onTime,2024-11-02 23:30:17,2024-11-02 23:30:17,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.05
Mairie d'Aubervilliers,onTime,2024-11-02 23:30:17,2024-11-02 23:30:17,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,1.49
Mairie d'Issy,onTime,2024-11-02 23:33:23,2024-11-02 23:33:23,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.05
Mairie d'Issy,onTime,2024-11-02 23:33:23,2024-11-02 23:33:23,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,1.49
Mairie d'Aubervilliers,onTime,2024-11-02 23:33:35,2024-11-02 23:33:35,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.05
Mairie d'Aubervilliers,onTime,2024-11-02 23:33:35,2024-11-02 23:33:35,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,1.49
Mairie d'Issy,onTime,2024-11-02 23:36:48,2024-11-02 23:36:48,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.05
Mairie d'Issy,onTime,2024-11-02 23:36:48,2024-11-02 23:36:48,Paris 9e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,1.49
Mairie d'Aubervilliers,onTime,2024-11-02 23:37:59,2024-11-02 23:37:59,Paris 9e,11.3,0.0,0.0,0.0,10.48,20.88,31200.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,2.05
Mairie d'Aubervilliers,onTime,2024-11-02 23:37:59,2024-11-02 23:37:59,Paris 9e,11.3,0.0,0.0,0.0,10.48,20.88,31200.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,1.49
Mairie d'Aubervilliers,onTime,2024-11-03 00:27:35,2024-11-03 00:27:35,Paris 9e,11.35,0.0,0.0,0.0,9.83,21.96,29680.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.7
Mairie d'Aubervilliers,onTime,2024-11-03 00:27:35,2024-11-03 00:27:35,Paris 9e,11.35,0.0,0.0,0.0,9.83,21.96,29680.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.52
Mairie d'Issy,onTime,2024-11-03 00:33:53,2024-11-03 00:33:53,Paris 9e,11.35,0.0,0.0,0.0,9.83,21.96,29680.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.7
Mairie d'Issy,onTime,2024-11-03 00:33:53,2024-11-03 00:33:53,Paris 9e,11.35,0.0,0.0,0.0,9.83,21.96,29680.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.52
Mairie d'Aubervilliers,onTime,2024-11-03 00:37:13,2024-11-03 00:37:13,Paris 9e,11.35,0.0,0.0,0.0,9.83,21.96,29680.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.7
Mairie d'Aubervilliers,onTime,2024-11-03 00:37:13,2024-11-03 00:37:13,Paris 9e,11.35,0.0,0.0,0.0,9.83,21.96,29680.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.52
Mairie d'Issy,onTime,2024-11-03 00:42:53,2024-11-03 00:42:53,Paris 9e,11.3,0.0,0.0,0.0,9.5,22.68,28840.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.7
