"Libellé";"Prix moyens mensuels de vente au détail en métropole - Supercarburant sans plomb, indice d'octane 98 (1 litre)";"Codes"
"idBank";"000442589";""
"Dernière mise à jour";"13/12/2024 08:45";""
"Période";"";""
"2024-01";"1.87";"A"
"2024-02";"1.92";"A"
"2024-03";"1.94";"A"
"2024-04";"1.99";"A"
"2024-05";"1.97";"A"
"2024-06";"1.92";"A"
"2024-07";"1.92";"A"
"2024-08";"1.88";"A"
"2024-09";"1.8";"A"
"2024-10";"1.82";"A"
"2024-11";"1.82";"A"
"2024-12";"";""
