stop_name,destination_name,departure_status,real_arrival,real_departure,ArRTown,temperature_2m,precipitation,rain,snowfall,wind_speed_10m,wind_gusts_10m,visibility,is_day,Date,day_of_week,day_type,is_bank_holiday,is_holiday,saturday,sunday,is_weekend,is_weekend_or_bank_holiday,pourc_validations
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-02 23:34:54,2024-11-02 23:34:54,Paris 6e,11.2,0.0,0.0,0.0,10.31,21.24,31100.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.01
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-02 23:38:10,2024-11-02 23:38:10,Paris 6e,11.3,0.0,0.0,0.0,10.48,20.88,31200.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.01
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-02 23:41:42,2024-11-02 23:41:42,Paris 6e,11.3,0.0,0.0,0.0,10.48,20.88,31200.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.01
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-02 23:45:30,2024-11-02 23:45:30,Paris 6e,11.3,0.0,0.0,0.0,10.48,20.88,31200.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.01
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-02 23:48:03,2024-11-02 23:48:03,Paris 6e,11.3,0.0,0.0,0.0,10.48,20.88,31200.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.01
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-02 23:53:30,2024-11-02 23:53:30,Paris 6e,11.35,0.0,0.0,0.0,10.25,20.88,31320.0,False,2024-11-02,5,SAVS,0,1,1,0,1,1,4.01
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 00:29:02,2024-11-03 00:29:02,Paris 6e,11.35,0.0,0.0,0.0,9.83,21.96,29680.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.64
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 00:33:52,2024-11-03 00:33:52,Paris 6e,11.35,0.0,0.0,0.0,9.83,21.96,29680.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.64
Saint-Germain des Prés,Porte de Clignancourt,delayed,2024-11-03 00:34:52,2024-11-03 00:34:52,Paris 6e,11.35,0.0,0.0,0.0,9.83,21.96,29680.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.64
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 00:39:12,2024-11-03 00:39:12,Paris 6e,11.3,0.0,0.0,0.0,9.5,22.68,28840.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.64
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 00:44:02,2024-11-03 00:44:02,Paris 6e,11.3,0.0,0.0,0.0,9.5,22.68,28840.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.64
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 00:53:02,2024-11-03 00:53:02,Paris 6e,11.2,0.0,0.0,0.0,9.34,23.04,28020.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,1.64
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 01:02:46,2024-11-03 01:02:46,Paris 6e,11.2,0.0,0.0,0.0,9.34,23.04,28020.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.17
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 04:27:35,2024-11-03 04:27:35,Paris 6e,9.95,0.0,0.0,0.0,8.12,20.52,23540.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.01
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 04:32:13,2024-11-03 04:32:13,Paris 6e,9.95,0.0,0.0,0.0,8.12,20.52,23540.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.01
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 04:37:13,2024-11-03 04:37:13,Paris 6e,9.95,0.0,0.0,0.0,8.12,20.52,23540.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.01
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 04:37:43,2024-11-03 04:37:43,Paris 6e,9.95,0.0,0.0,0.0,7.64,19.08,23220.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.01
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 04:46:13,2024-11-03 04:46:13,Paris 6e,9.95,0.0,0.0,0.0,7.64,19.08,23220.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.01
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 05:32:36,2024-11-03 05:32:36,Paris 6e,9.9,0.0,0.0,0.0,8.05,17.28,22020.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.25
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 05:33:06,2024-11-03 05:33:06,Paris 6e,9.9,0.0,0.0,0.0,8.05,17.28,22020.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.25
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 05:37:27,2024-11-03 05:37:27,Paris 6e,9.9,0.0,0.0,0.0,8.05,17.28,22020.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.25
Saint-Germain des Prés,Porte de Clignancourt,onTime,2024-11-03 05:39:56,2024-11-03 05:39:56,Paris 6e,9.9,0.0,0.0,0.0,8.56,16.92,21560.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.25
Saint-Germain des Prés,Bagneux - Lucie Aubrac,onTime,2024-11-03 05:43:36,2024-11-03 05:43:36,Paris 6e,9.9,0.0,0.0,0.0,8.56,16.92,21560.0,False,2024-11-03,6,DIJFP,0,1,0,1,1,1,0.25
